Frame Number,BOOSTING: not overlapped: 7; failed: 0,CSRT: not overlapped: 6; failed: 0,KCF: not overlapped: 6; failed: 2,MEDIANFLOW: not overlapped: 1; failed: 62,MIL: not overlapped: 6; failed: 0,MOSSE: not overlapped: 8; failed: 22,TLD: not overlapped: 34; failed: 12
41,66.03786792,57.93962375,32.52691193,57.72347876,65.1459899,68.8839604,36.7151195
42,54.08326913,43.65775991,39.8246155,43.93176527,52.63078947,58.21511831,27.89265136
43,70.66116331,61.40032573,26.90724809,62.96824597,71.58910532,78.23042886,59.20304046
44,66.18912297,55.78530272,28.60069929,56.71860365,66.28725368,73.17103252,54.91812087
45,68.9637586,60.40695324,29,60.41522987,70.09279564,76.53103945,72.44308111
46,54.91812087,44.94441011,38.94868419,45.89117562,54.34151268,62.12889827,15.8113883
47,48.82622246,38.62641583,42.15447782,42.42640687,49.03060269,57.03507693,20.24845673
48,58.52349955,49.36598019,25.96150997,54.03702434,63.07138812,71.1758386,17.88854382
49,64.63745044,52.32590181,36.23534186,54.12023651,63.5688603,69.05070601,11.18033989
50,56.35601121,45.12205669,30.87069808,50.08991915,58.54912467,66,16.2788206
51,60.90155991,50.59644256,30,56.56854249,63.34824386,70.17834424,9.219544457
52,61.77378085,52.20153254,27.80287755,55.57877293,62.36986452,70.25667228,9.433981132
53,76.05918748,67.44627492,21.54065923,70.57619995,76.29547824,84.29116205,8.062257748
54,82.46211251,72.53275122,19.41648784,72.69112738,82.56512581,90.35485598,13.34166406
55,81.9390017,72.53275122,21.09502311,78.63841301,82.37718131,90.35485598,18.43908891
56,73.40980861,65.73431372,18.38477631,71.34423593,75.13321503,83.09632964,13.03840481
57,78,68.65857558,18.68154169,76.53103945,79.07591289,87.14355972,16.15549442
58,78.18567644,69.85699679,17.2626765,76.4198927,78.08969202,87.09190548,19.31320792
59,76.92203845,70.60453243,20.39607805,75.95393341,78.64477096,87.36704184,19.23538406
60,80.23091673,71.30918594,18.11077028,76.79192666,79.62411695,88.27797007,19.6468827
61,84.09518417,74.33034374,22.02271555,80.23091673,84.40379138,93.64827815,23.02172887
62,88.68483523,75.23961722,33.13608305,81.90848552,85.0940656,1000,22.13594362
63,87.66413178,72.73238618,26.30589288,80.28075735,84.20213774,5.830951895,21
64,98.61541462,82.56512581,25.49509757,89.26925563,93.68030743,15.03329638,28.01785145
65,21,84.43340571,26.07680962,86.83317338,23.34523506,14.03566885,27.07397274
66,5.385164807,82.54089895,23,85.90692638,18.38477631,14.03566885,27.01851217
67,18.68154169,77.87810989,28.16025568,79.12016178,26.2488095,7.615773106,19.23538406
68,9.055385138,84.77027781,19,87.29833904,15.23154621,17.4642492,29.83286778
69,4.472135955,93.92017888,23.34523506,94.59386872,20.02498439,24.08318916,34
70,6.08276253,98.03060747,22.47220505,99.46356117,20.39607805,29.15475947,37
71,9.219544457,10.44030651,18.02775638,92.96235797,18.02775638,24,32.14031736
72,21.58703314,15,12.64911064,89.94442729,21.40093456,28.63564213,29.41088234
