Frame Number,BOOSTING: not overlapped: 3; failed: 0,CSRT: not overlapped: 2; failed: 0,KCF: not overlapped: 3; failed: 2,MEDIANFLOW: not overlapped: 0; failed: 62,MIL: not overlapped: 2; failed: 0,MOSSE: not overlapped: 2; failed: 3,TLD: not overlapped: 11; failed: 6
41,66.03786792,57.93962375,76.94153625,57.72347876,65.1459899,68.8839604,35.73513677
42,54.08326913,43.65775991,62.76941931,43.93176527,52.63078947,58.21511831,39.01281841
43,70.66116331,61.40032573,80.11242101,62.96824597,71.58910532,78.23042886,17.2626765
44,66.18912297,55.78530272,73.34848328,56.71860365,66.28725368,73.17103252,12.36931688
45,68.9637586,60.40695324,78.26237921,60.41522987,70.09279564,76.53103945,15
46,54.91812087,44.94441011,65.36818798,45.89117562,54.34151268,62.12889827,4.123105626
47,48.82622246,38.62641583,61.29437168,42.42640687,49.03060269,57.03507693,5.830951895
48,58.52349955,49.36598019,71.47027354,54.03702434,63.07138812,71.1758386,17.20465053
49,64.63745044,52.32590181,75.29276194,54.12023651,63.5688603,69.05070601,8.544003745
50,56.35601121,45.12205669,68.15423685,50.08991915,58.54912467,66,10.63014581
51,60.90155991,50.59644256,73.8241153,56.56854249,63.34824386,70.17834424,11.70469991
52,61.77378085,52.20153254,72.44998275,55.57877293,62.36986452,70.25667228,11.18033989
53,76.05918748,67.44627492,87.46427842,70.57619995,76.29547824,84.29116205,25.01999201
54,82.46211251,72.53275122,91.54780172,72.69112738,82.56512581,90.35485598,31.01612484
55,81.9390017,72.53275122,93.40770846,78.63841301,82.37718131,90.35485598,33
56,73.40980861,65.73431372,85.44003745,71.34423593,75.13321503,83.09632964,26.30589288
57,78,68.65857558,89.53770156,76.53103945,79.07591289,87.14355972,31.06444913
58,78.18567644,69.85699679,91.08238029,76.4198927,78.08969202,87.09190548,31.06444913
59,76.92203845,70.60453243,91.1811384,75.95393341,78.64477096,87.36704184,30.01666204
60,80.23091673,71.30918594,90.47651629,76.79192666,79.62411695,88.27797007,31.01612484
61,84.09518417,74.33034374,96.56603958,80.23091673,84.40379138,93.64827815,34.13209633
62,88.68483523,75.23961722,99.2975327,81.90848552,85.0940656,95.34149149,20
63,87.66413178,72.73238618,99.00505038,80.28075735,84.20213774,96.33794683,22.47220505
64,98.61541462,82.56512581,109.5627674,89.26925563,93.68030743,106.5316854,29.61418579
65,99.40321926,84.43340571,109.0045871,86.83317338,94.25497334,105.9056184,45.54119015
66,95.85405573,82.54089895,107.9120012,85.90692638,92.72000863,106.5316854,93.26306879
67,87.23531395,77.87810989,102.0441081,79.12016178,86.97700846,99.46356117,90.00555538
68,93.63759929,84.77027781,108.4665847,87.29833904,95.8018789,109.0366911,99.40824915
69,100.8464179,93.92017888,116.1077086,94.59386872,103.7400598,115.9180745,94.04786016
70,114.4901743,98.03060747,119.8707637,99.46356117,107.0046728,121.0165278,94.5409964
71,105.6219674,92.65527508,114.1621654,92.96235797,100,115.5724881,17.02938637
